Symbol,action,shares,price,commission,date
AME,buy,1,1,1,10/22/2018
AFSI^A,buy,1,1,1,10/22/2018
AFSI^B,buy,1,1,1,10/22/2018
AFSI^C,buy,1,1,1,10/22/2018
AFSI^D,buy,1,1,1,10/22/2018
AFSI^E,buy,1,1,1,10/22/2018
AFSI^F,buy,1,1,1,10/22/2018
AFSS,buy,1,1,1,10/22/2018
AFST,buy,1,1,1,10/22/2018
APC,buy,1,1,1,10/22/2018
PLAN,buy,1,1,1,10/22/2018
ANDX,buy,1,1,1,10/22/2018
AU,buy,1,1,1,10/22/2018
BUD,buy,1,1,1,10/22/2018
AXE,buy,1,1,1,10/22/2018
NLY,buy,1,1,1,10/22/2018
NLY^C,buy,1,1,1,10/22/2018
NLY^D,buy,1,1,1,10/22/2018
NLY^F,buy,1,1,1,10/22/2018
NLY^G,buy,1,1,1,10/22/2018
NLY^H,buy,1,1,1,10/22/2018
AMGP,buy,1,1,1,10/22/2018
AM,buy,1,1,1,10/22/2018
AR,buy,1,1,1,10/22/2018
ANTM,buy,1,1,1,10/22/2018
ANH,buy,1,1,1,10/22/2018
ANH^A,buy,1,1,1,10/22/2018
ANH^B,buy,1,1,1,10/22/2018
ANH^C,buy,1,1,1,10/22/2018
AON,buy,1,1,1,10/22/2018
APA,buy,1,1,1,10/22/2018
AIV,buy,1,1,1,10/22/2018
AIV^A,buy,1,1,1,10/22/2018
APY,buy,1,1,1,10/22/2018
ARI,buy,1,1,1,10/22/2018
ARI^C,buy,1,1,1,10/22/2018
APO,buy,1,1,1,10/22/2018
APO^A,buy,1,1,1,10/22/2018
APO^B,buy,1,1,1,10/22/2018
AIY,buy,1,1,1,10/22/2018
AFT,buy,1,1,1,10/22/2018
AIF,buy,1,1,1,10/22/2018
APLE,buy,1,1,1,10/22/2018
AIT,buy,1,1,1,10/22/2018
ATR,buy,1,1,1,10/22/2018
APTV,buy,1,1,1,10/22/2018
WTR,buy,1,1,1,10/22/2018
AQ,buy,1,1,1,10/22/2018
WAAS,buy,1,1,1,10/22/2018
ARMK,buy,1,1,1,10/22/2018
ABR,buy,1,1,1,10/22/2018
ABR^A,buy,1,1,1,10/22/2018
ABR^B,buy,1,1,1,10/22/2018
ABR^C,buy,1,1,1,10/22/2018
ARC,buy,1,1,1,10/22/2018
MT,buy,1,1,1,10/22/2018
ARCH,buy,1,1,1,10/22/2018
ADM,buy,1,1,1,10/22/2018
AROC,buy,1,1,1,10/22/2018
ARNC,buy,1,1,1,10/22/2018
ARCO,buy,1,1,1,10/22/2018
ACA$,buy,1,1,1,10/22/2018
RCUS,buy,1,1,1,10/22/2018
ARD,buy,1,1,1,10/22/2018
ASC,buy,1,1,1,10/22/2018
AFC,buy,1,1,1,10/22/2018
ACRE,buy,1,1,1,10/22/2018
ARDC,buy,1,1,1,10/22/2018
ARES,buy,1,1,1,10/22/2018
ARES^A,buy,1,1,1,10/22/2018
AGX,buy,1,1,1,10/22/2018
ARGD,buy,1,1,1,10/22/2018
ARGO,buy,1,1,1,10/22/2018
ANET,buy,1,1,1,10/22/2018
AI,buy,1,1,1,10/22/2018
AI^B,buy,1,1,1,10/22/2018
AIC,buy,1,1,1,10/22/2018
AIW,buy,1,1,1,10/22/2018
ARLO,buy,1,1,1,10/22/2018
AHH,buy,1,1,1,10/22/2018
ARR,buy,1,1,1,10/22/2018
ARR^A,buy,1,1,1,10/22/2018
ARR^B,buy,1,1,1,10/22/2018
AFI,buy,1,1,1,10/22/2018
AWI,buy,1,1,1,10/22/2018
ARW,buy,1,1,1,10/22/2018
AJG,buy,1,1,1,10/22/2018
APAM,buy,1,1,1,10/22/2018
ASA,buy,1,1,1,10/22/2018
ABG,buy,1,1,1,10/22/2018
ASX,buy,1,1,1,10/22/2018
ASGN,buy,1,1,1,10/22/2018
AHT,buy,1,1,1,10/22/2018
AHT^D,buy,1,1,1,10/22/2018
AHT^F,buy,1,1,1,10/22/2018
AHT^G,buy,1,1,1,10/22/2018
AHT^H,buy,1,1,1,10/22/2018
AHT^I,buy,1,1,1,10/22/2018
ASH,buy,1,1,1,10/22/2018
APB,buy,1,1,1,10/22/2018
ASPN,buy,1,1,1,10/22/2018
AHL,buy,1,1,1,10/22/2018
AHL^C,buy,1,1,1,10/22/2018
AHL^D,buy,1,1,1,10/22/2018
ASB,buy,1,1,1,10/22/2018
ASB^C,buy,1,1,1,10/22/2018
ASB^D,buy,1,1,1,10/22/2018
ASB^E,buy,1,1,1,10/22/2018
AC,buy,1,1,1,10/22/2018
AIZ,buy,1,1,1,10/22/2018
AIZP,buy,1,1,1,10/22/2018
AGO,buy,1,1,1,10/22/2018
AGO^B,buy,1,1,1,10/22/2018
AGO^E,buy,1,1,1,10/22/2018
AGO^F,buy,1,1,1,10/22/2018
AZN,buy,1,1,1,10/22/2018
HOME,buy,1,1,1,10/22/2018
T,buy,1,1,1,10/22/2018
TBB,buy,1,1,1,10/22/2018
TBC,buy,1,1,1,10/22/2018
ATTO,buy,1,1,1,10/22/2018
ATH,buy,1,1,1,10/22/2018
ATKR,buy,1,1,1,10/22/2018
AT,buy,1,1,1,10/22/2018
ATO,buy,1,1,1,10/22/2018
AUO,buy,1,1,1,10/22/2018
ATHM,buy,1,1,1,10/22/2018
ALV,buy,1,1,1,10/22/2018
AN,buy,1,1,1,10/22/2018
AZO,buy,1,1,1,10/22/2018
AVLR,buy,1,1,1,10/22/2018
AVB,buy,1,1,1,10/22/2018
AGR,buy,1,1,1,10/22/2018
AVNS,buy,1,1,1,10/22/2018
AVYA,buy,1,1,1,10/22/2018
AVY,buy,1,1,1,10/22/2018
AVH,buy,1,1,1,10/22/2018
AVA,buy,1,1,1,10/22/2018
AVP,buy,1,1,1,10/22/2018
AVX,buy,1,1,1,10/22/2018
EQH,buy,1,1,1,10/22/2018
AXTA,buy,1,1,1,10/22/2018
AXS,buy,1,1,1,10/22/2018
AXS^D,buy,1,1,1,10/22/2018
AXS^E,buy,1,1,1,10/22/2018
AX,buy,1,1,1,10/22/2018
AXO,buy,1,1,1,10/22/2018
AZUL,buy,1,1,1,10/22/2018
AZRE,buy,1,1,1,10/22/2018
AZZ,buy,1,1,1,10/22/2018
BGS,buy,1,1,1,10/22/2018
BW,buy,1,1,1,10/22/2018
BGH,buy,1,1,1,10/22/2018
BMI,buy,1,1,1,10/22/2018
BHGE,buy,1,1,1,10/22/2018
BBN,buy,1,1,1,10/22/2018
BLL,buy,1,1,1,10/22/2018
BANC,buy,1,1,1,10/22/2018
BANC^D,buy,1,1,1,10/22/2018
BANC^E,buy,1,1,1,10/22/2018
BBVA,buy,1,1,1,10/22/2018
BBD,buy,1,1,1,10/22/2018
BBDO,buy,1,1,1,10/22/2018
BCH,buy,1,1,1,10/22/2018
BLX,buy,1,1,1,10/22/2018
BSMX,buy,1,1,1,10/22/2018
BSBR,buy,1,1,1,10/22/2018
BSAC,buy,1,1,1,10/22/2018
SAN,buy,1,1,1,10/22/2018
SAN^B,buy,1,1,1,10/22/2018
CIB,buy,1,1,1,10/22/2018
BXS,buy,1,1,1,10/22/2018
BAC,buy,1,1,1,10/22/2018
BAC.WS.A,buy,1,1,1,10/22/2018
BAC.WS.B,buy,1,1,1,10/22/2018
BAC^A,buy,1,1,1,10/22/2018
BAC^B,buy,1,1,1,10/22/2018
BAC^C,buy,1,1,1,10/22/2018
BAC^E,buy,1,1,1,10/22/2018
BAC^K,buy,1,1,1,10/22/2018
BAC^L,buy,1,1,1,10/22/2018
BAC^W,buy,1,1,1,10/22/2018
BAC^Y,buy,1,1,1,10/22/2018
BML^G,buy,1,1,1,10/22/2018
BML^H,buy,1,1,1,10/22/2018
BML^J,buy,1,1,1,10/22/2018
BML^L,buy,1,1,1,10/22/2018
BOH,buy,1,1,1,10/22/2018
BMO,buy,1,1,1,10/22/2018
NTB,buy,1,1,1,10/22/2018
BK,buy,1,1,1,10/22/2018
BK^C,buy,1,1,1,10/22/2018
BNS,buy,1,1,1,10/22/2018
BKU,buy,1,1,1,10/22/2018
BCS,buy,1,1,1,10/22/2018
BCS^D,buy,1,1,1,10/22/2018
BBDC,buy,1,1,1,10/22/2018
MCI,buy,1,1,1,10/22/2018
MPV,buy,1,1,1,10/22/2018
BNED,buy,1,1,1,10/22/2018
BKS,buy,1,1,1,10/22/2018
B,buy,1,1,1,10/22/2018
ABX,buy,1,1,1,10/22/2018
BAS,buy,1,1,1,10/22/2018
BHC,buy,1,1,1,10/22/2018
BAX,buy,1,1,1,10/22/2018
BTE,buy,1,1,1,10/22/2018
BBT,buy,1,1,1,10/22/2018
BBT^D,buy,1,1,1,10/22/2018
BBT^E,buy,1,1,1,10/22/2018
BBT^F,buy,1,1,1,10/22/2018
BBT^G,buy,1,1,1,10/22/2018
BBT^H,buy,1,1,1,10/22/2018
BFR,buy,1,1,1,10/22/2018
BBX,buy,1,1,1,10/22/2018
BCE,buy,1,1,1,10/22/2018
BZH,buy,1,1,1,10/22/2018
BDX,buy,1,1,1,10/22/2018
BDXA,buy,1,1,1,10/22/2018
BDC,buy,1,1,1,10/22/2018
BDC^B,buy,1,1,1,10/22/2018
BXE,buy,1,1,1,10/22/2018
BEL,buy,1,1,1,10/22/2018
BMS,buy,1,1,1,10/22/2018
BHE,buy,1,1,1,10/22/2018
BRK.A,buy,1,1,1,10/22/2018
BRK.B,buy,1,1,1,10/22/2018
BHLB,buy,1,1,1,10/22/2018
BERY,buy,1,1,1,10/22/2018
BBY,buy,1,1,1,10/22/2018
BSTI,buy,1,1,1,10/22/2018
BHP,buy,1,1,1,10/22/2018
BBL,buy,1,1,1,10/22/2018
BIG,buy,1,1,1,10/22/2018
BH,buy,1,1,1,10/22/2018
BH.A,buy,1,1,1,10/22/2018
BHVN,buy,1,1,1,10/22/2018
BIO,buy,1,1,1,10/22/2018
BIO.B,buy,1,1,1,10/22/2018
BITA,buy,1,1,1,10/22/2018
BJ,buy,1,1,1,10/22/2018
BKH,buy,1,1,1,10/22/2018
BKHU,buy,1,1,1,10/22/2018
BKI,buy,1,1,1,10/22/2018
BSM,buy,1,1,1,10/22/2018
BB,buy,1,1,1,10/22/2018
BGIO,buy,1,1,1,10/22/2018
BJZ,buy,1,1,1,10/22/2018
BFZ,buy,1,1,1,10/22/2018
CII,buy,1,1,1,10/22/2018
BHK,buy,1,1,1,10/22/2018
HYT,buy,1,1,1,10/22/2018
BTZ,buy,1,1,1,10/22/2018
DSU,buy,1,1,1,10/22/2018
BGR,buy,1,1,1,10/22/2018
BDJ,buy,1,1,1,10/22/2018
EGF,buy,1,1,1,10/22/2018
FRA,buy,1,1,1,10/22/2018
BFO,buy,1,1,1,10/22/2018
BGT,buy,1,1,1,10/22/2018
BOE,buy,1,1,1,10/22/2018
BME,buy,1,1,1,10/22/2018
BAF,buy,1,1,1,10/22/2018
BKT,buy,1,1,1,10/22/2018
BGY,buy,1,1,1,10/22/2018
BKN,buy,1,1,1,10/22/2018
BTA,buy,1,1,1,10/22/2018
BZM,buy,1,1,1,10/22/2018
MHE,buy,1,1,1,10/22/2018
BIT,buy,1,1,1,10/22/2018
MUI,buy,1,1,1,10/22/2018
MNE,buy,1,1,1,10/22/2018
MUA,buy,1,1,1,10/22/2018
BPK,buy,1,1,1,10/22/2018
BKK,buy,1,1,1,10/22/2018
BBK,buy,1,1,1,10/22/2018
BBF,buy,1,1,1,10/22/2018
BYM,buy,1,1,1,10/22/2018
BFK,buy,1,1,1,10/22/2018
BLE,buy,1,1,1,10/22/2018
BTT,buy,1,1,1,10/22/2018
MEN,buy,1,1,1,10/22/2018
MUC,buy,1,1,1,10/22/2018
MUH,buy,1,1,1,10/22/2018
MHD,buy,1,1,1,10/22/2018
MFL,buy,1,1,1,10/22/2018
MUJ,buy,1,1,1,10/22/2018
MHN,buy,1,1,1,10/22/2018
MUE,buy,1,1,1,10/22/2018
MUS,buy,1,1,1,10/22/2018
MVT,buy,1,1,1,10/22/2018
MYC,buy,1,1,1,10/22/2018
MCA,buy,1,1,1,10/22/2018
MYD,buy,1,1,1,10/22/2018
MYF,buy,1,1,1,10/22/2018
MFT,buy,1,1,1,10/22/2018
MIY,buy,1,1,1,10/22/2018
MYJ,buy,1,1,1,10/22/2018
MYN,buy,1,1,1,10/22/2018
MPA,buy,1,1,1,10/22/2018
MQT,buy,1,1,1,10/22/2018
MYI,buy,1,1,1,10/22/2018
MQY,buy,1,1,1,10/22/2018
BNY,buy,1,1,1,10/22/2018
BLH,buy,1,1,1,10/22/2018
BQH,buy,1,1,1,10/22/2018
BSE,buy,1,1,1,10/22/2018
BFY,buy,1,1,1,10/22/2018
BCX,buy,1,1,1,10/22/2018
BST,buy,1,1,1,10/22/2018
BSD,buy,1,1,1,10/22/2018
BUI,buy,1,1,1,10/22/2018
BHV,buy,1,1,1,10/22/2018
BLK,buy,1,1,1,10/22/2018
BGB,buy,1,1,1,10/22/2018
BGX,buy,1,1,1,10/22/2018
BSL,buy,1,1,1,10/22/2018
BE,buy,1,1,1,10/22/2018
APRN,buy,1,1,1,10/22/2018
BCRH,buy,1,1,1,10/22/2018
BXG,buy,1,1,1,10/22/2018
BXC,buy,1,1,1,10/22/2018
BA,buy,1,1,1,10/22/2018
BCC,buy,1,1,1,10/22/2018
BCEI,buy,1,1,1,10/22/2018
BOOT,buy,1,1,1,10/22/2018
BAH,buy,1,1,1,10/22/2018
BWA,buy,1,1,1,10/22/2018
SAM,buy,1,1,1,10/22/2018
BXP,buy,1,1,1,10/22/2018
BXP^B,buy,1,1,1,10/22/2018
BSX,buy,1,1,1,10/22/2018
BOX,buy,1,1,1,10/22/2018
BYD,buy,1,1,1,10/22/2018
BPMP,buy,1,1,1,10/22/2018
BP,buy,1,1,1,10/22/2018
BPT,buy,1,1,1,10/22/2018
BRC,buy,1,1,1,10/22/2018
BHR,buy,1,1,1,10/22/2018
BHR^B,buy,1,1,1,10/22/2018
BDN,buy,1,1,1,10/22/2018
BWG,buy,1,1,1,10/22/2018
LND,buy,1,1,1,10/22/2018
BAK,buy,1,1,1,10/22/2018
BRFS,buy,1,1,1,10/22/2018
BPI,buy,1,1,1,10/22/2018
BGG,buy,1,1,1,10/22/2018
BFAM,buy,1,1,1,10/22/2018
BEDU,buy,1,1,1,10/22/2018
BSA,buy,1,1,1,10/22/2018
BSIG,buy,1,1,1,10/22/2018
BV,buy,1,1,1,10/22/2018
EAT,buy,1,1,1,10/22/2018
BCO,buy,1,1,1,10/22/2018
BMY,buy,1,1,1,10/22/2018
BRS,buy,1,1,1,10/22/2018
BTI,buy,1,1,1,10/22/2018
BRX,buy,1,1,1,10/22/2018
BR,buy,1,1,1,10/22/2018
BKD,buy,1,1,1,10/22/2018
BAM,buy,1,1,1,10/22/2018
BBU,buy,1,1,1,10/22/2018
DTLA^,buy,1,1,1,10/22/2018
INF,buy,1,1,1,10/22/2018
BIP,buy,1,1,1,10/22/2018
RA,buy,1,1,1,10/22/2018
BEP,buy,1,1,1,10/22/2018
BRO,buy,1,1,1,10/22/2018
BF.A,buy,1,1,1,10/22/2018
BF.B,buy,1,1,1,10/22/2018
BRT,buy,1,1,1,10/22/2018
BC,buy,1,1,1,10/22/2018
BC^A,buy,1,1,1,10/22/2018
BT,buy,1,1,1,10/22/2018
BPL,buy,1,1,1,10/22/2018
BKE,buy,1,1,1,10/22/2018
BVN,buy,1,1,1,10/22/2018
BBW,buy,1,1,1,10/22/2018
BG,buy,1,1,1,10/22/2018
BURL,buy,1,1,1,10/22/2018
BWXT,buy,1,1,1,10/22/2018
BY,buy,1,1,1,10/22/2018
CJ,buy,1,1,1,10/22/2018
GYB,buy,1,1,1,10/22/2018
PFH,buy,1,1,1,10/22/2018
CABO,buy,1,1,1,10/22/2018
CBT,buy,1,1,1,10/22/2018
COG,buy,1,1,1,10/22/2018
CACI,buy,1,1,1,10/22/2018
WHD,buy,1,1,1,10/22/2018
CADE,buy,1,1,1,10/22/2018
CAE,buy,1,1,1,10/22/2018
CAI,buy,1,1,1,10/22/2018
CAI^A,buy,1,1,1,10/22/2018
CAI^B,buy,1,1,1,10/22/2018
CAL,buy,1,1,1,10/22/2018
CRC,buy,1,1,1,10/22/2018
CWT,buy,1,1,1,10/22/2018
CALX,buy,1,1,1,10/22/2018
ELY,buy,1,1,1,10/22/2018
CPE,buy,1,1,1,10/22/2018
CPE^A,buy,1,1,1,10/22/2018
CBM,buy,1,1,1,10/22/2018
CPT,buy,1,1,1,10/22/2018
CCJ,buy,1,1,1,10/22/2018
CPB,buy,1,1,1,10/22/2018
CWH,buy,1,1,1,10/22/2018
GOOS,buy,1,1,1,10/22/2018
CM,buy,1,1,1,10/22/2018
CNI,buy,1,1,1,10/22/2018
CNQ,buy,1,1,1,10/22/2018
CP,buy,1,1,1,10/22/2018
CANG,buy,1,1,1,10/22/2018
CNNE,buy,1,1,1,10/22/2018
CAJ,buy,1,1,1,10/22/2018
CGC,buy,1,1,1,10/22/2018
CMD,buy,1,1,1,10/22/2018
COF,buy,1,1,1,10/22/2018
COF.WS,buy,1,1,1,10/22/2018
COF^C,buy,1,1,1,10/22/2018
COF^D,buy,1,1,1,10/22/2018
COF^F,buy,1,1,1,10/22/2018
COF^G,buy,1,1,1,10/22/2018
COF^H,buy,1,1,1,10/22/2018
COF^P,buy,1,1,1,10/22/2018
CSU,buy,1,1,1,10/22/2018
BXMT,buy,1,1,1,10/22/2018
CIC,buy,1,1,1,10/22/2018
CIC.U,buy,1,1,1,10/22/2018
CIC.WS,buy,1,1,1,10/22/2018
CMO,buy,1,1,1,10/22/2018
CMO^E,buy,1,1,1,10/22/2018
CRR,buy,1,1,1,10/22/2018
CAH,buy,1,1,1,10/22/2018
CRCM,buy,1,1,1,10/22/2018
CSL,buy,1,1,1,10/22/2018
KMX,buy,1,1,1,10/22/2018
CCL,buy,1,1,1,10/22/2018
CUK,buy,1,1,1,10/22/2018
CRS,buy,1,1,1,10/22/2018
CSV,buy,1,1,1,10/22/2018
CARS,buy,1,1,1,10/22/2018
CRI,buy,1,1,1,10/22/2018
CVNA,buy,1,1,1,10/22/2018
CSLT,buy,1,1,1,10/22/2018
CTLT,buy,1,1,1,10/22/2018
CTT           ,buy,1,1,1,10/22/2018
CAT,buy,1,1,1,10/22/2018
CATO,buy,1,1,1,10/22/2018
CBZ,buy,1,1,1,10/22/2018
CBL,buy,1,1,1,10/22/2018
CBL^D,buy,1,1,1,10/22/2018
CBL^E,buy,1,1,1,10/22/2018
CBO,buy,1,1,1,10/22/2018
IGR,buy,1,1,1,10/22/2018
CBRE,buy,1,1,1,10/22/2018
CBS,buy,1,1,1,10/22/2018
CBS.A,buy,1,1,1,10/22/2018
CBX,buy,1,1,1,10/22/2018
FUN,buy,1,1,1,10/22/2018
CDR,buy,1,1,1,10/22/2018
CDR^B,buy,1,1,1,10/22/2018
CDR^C,buy,1,1,1,10/22/2018
CE,buy,1,1,1,10/22/2018
CLS,buy,1,1,1,10/22/2018
CEL,buy,1,1,1,10/22/2018
CPAC,buy,1,1,1,10/22/2018
CX,buy,1,1,1,10/22/2018
CVE,buy,1,1,1,10/22/2018
CNC,buy,1,1,1,10/22/2018
CEN,buy,1,1,1,10/22/2018
CNP,buy,1,1,1,10/22/2018
CNP^B,buy,1,1,1,10/22/2018
EBR,buy,1,1,1,10/22/2018
EBR.B,buy,1,1,1,10/22/2018
CEPU,buy,1,1,1,10/22/2018
CCS,buy,1,1,1,10/22/2018
CTL,buy,1,1,1,10/22/2018
CDAY,buy,1,1,1,10/22/2018
CF,buy,1,1,1,10/22/2018
GIB,buy,1,1,1,10/22/2018
ECOM          ,buy,1,1,1,10/22/2018
CHAP,buy,1,1,1,10/22/2018
CHRA,buy,1,1,1,10/22/2018
CRL,buy,1,1,1,10/22/2018
CLDT,buy,1,1,1,10/22/2018
CMCM,buy,1,1,1,10/22/2018
CHGG,buy,1,1,1,10/22/2018
CHE,buy,1,1,1,10/22/2018
CC,buy,1,1,1,10/22/2018
CHMI,buy,1,1,1,10/22/2018
CHMI^A,buy,1,1,1,10/22/2018
CHK,buy,1,1,1,10/22/2018
CHK^D,buy,1,1,1,10/22/2018
CHKR,buy,1,1,1,10/22/2018
CHSP,buy,1,1,1,10/22/2018
CPK,buy,1,1,1,10/22/2018
CVX,buy,1,1,1,10/22/2018
CHS,buy,1,1,1,10/22/2018
CIM,buy,1,1,1,10/22/2018
CIM^A,buy,1,1,1,10/22/2018
CIM^B,buy,1,1,1,10/22/2018
CIM^C,buy,1,1,1,10/22/2018
DL,buy,1,1,1,10/22/2018
CEA,buy,1,1,1,10/22/2018
CHN,buy,1,1,1,10/22/2018
CGA,buy,1,1,1,10/22/2018
LFC,buy,1,1,1,10/22/2018
CHL,buy,1,1,1,10/22/2018
BORN,buy,1,1,1,10/22/2018
COE,buy,1,1,1,10/22/2018
SNP,buy,1,1,1,10/22/2018
XRF,buy,1,1,1,10/22/2018
ZNH,buy,1,1,1,10/22/2018
CHA,buy,1,1,1,10/22/2018
CHU,buy,1,1,1,10/22/2018
CYD,buy,1,1,1,10/22/2018
CMG,buy,1,1,1,10/22/2018
CHH,buy,1,1,1,10/22/2018
CBK,buy,1,1,1,10/22/2018
CB,buy,1,1,1,10/22/2018
CHT,buy,1,1,1,10/22/2018
CHD,buy,1,1,1,10/22/2018
CCC.U,buy,1,1,1,10/22/2018
CIEN,buy,1,1,1,10/22/2018
CI,buy,1,1,1,10/22/2018
XEC,buy,1,1,1,10/22/2018
CBB,buy,1,1,1,10/22/2018
CBB^B,buy,1,1,1,10/22/2018
CNK,buy,1,1,1,10/22/2018
CINR,buy,1,1,1,10/22/2018
CIR,buy,1,1,1,10/22/2018
CISN,buy,1,1,1,10/22/2018
CIT,buy,1,1,1,10/22/2018
