Symbol,Name
ATEST.C,NASDAQ TEST STOCK
NHC,National HealthCare Corporation
NAVB,"Navidea Biopharmaceuticals, Inc."
NTIP,"Network-1 Technologies, Inc."
NBW,Neuberger Berman California Municipal Fund Inc
NHS,Neuberger Berman High Yield Strategies Fund
NML,Neuberger Berman MLP Income Fund Inc.
NBH,Neuberger Berman Municipal Fund Inc.
NBO,Neuberger Berman New York Municipal Fund Inc.
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc."
UWN,"Nevada Gold & Casinos, Inc."
NSU,Nevsun Resources Ltd
GBR,"New Concept Energy, Inc"
NEN,New England Realty Associates Limited Partnership
NGD,New Gold Inc.
NXE,Nexgen Energy Ltd.
HLTH,Nobilis Health Corp.
NAK,"Northern Dynasty Minerals, Ltd."
NOG,"Northern Oil and Gas, Inc."
NBY,"NovaBay Pharmaceuticals, Inc."
NG,Novagold Resources Inc.
NRCG,NRC Group Holdings Corp.
NRCG.WS,NRC Group Holdings Corp.
NTN,"NTN Buzztime, Inc."
NES,"Nuverra Environmental Solutions, Inc."
OCX,OncoCyte Corporation
OGEN,Oragenics Inc.
TIS,Orchids Paper Products Company
ORM,"Owens Realty Mortgage, Inc."
PCG^A,Pacific Gas & Electric Co.
PCG^B,Pacific Gas & Electric Co.
PCG^C,Pacific Gas & Electric Co.
PCG^D,Pacific Gas & Electric Co.
PCG^E,Pacific Gas & Electric Co.
PCG^G,Pacific Gas & Electric Co.
PCG^H,Pacific Gas & Electric Co.
PCG^I,Pacific Gas & Electric Co.
PTN,"Palatin Technologies, Inc."
PZG,Paramount Gold Nevada Corp.
PRK,Park National Corporation
PED,Pedevco Corp.
PFNX,Pfenex Inc.
HNW,Pioneer Diversified High Income Trust
PLAG,Planet Green Holdings Corp
PLG,Platinum Group Metals Ltd.
PLYM,"Plymouth Industrial REIT, Inc."
PLYM^A,"Plymouth Industrial REIT, Inc."
PLM,Polymet Mining Corp.
PW,Power REIT
PW^A,Power REIT
PLX,"Protalix BioTherapeutics, Inc."
RLGT,"Radiant Logistics, Inc."
RLGT^A,"Radiant Logistics, Inc."
RFL,"Rafael Holdings, Inc."
UTG,Reaves Utility Income Fund
REED,"Reeds, Inc."
RHE,"Regional Health Properties, Inc."
RHE^A,"Regional Health Properties, Inc."
RCG,"RENN Fund, Inc."
RVP,"Retractable Technologies, Inc."
RNN,"Rexahn Pharmaceuticals, Inc."
REI,"Ring Energy, Inc."
RIF,RMR Real Estate Income Fund
SACH,Sachem Capital Corp.
SNMP,Sanchez Midstream Partners LP
SAND          ,Sandstorm Gold Ltd
SEB,Seaboard Corporation
SENS,"Senseonics Holdings, Inc."
SVT,"Servotronics, Inc."
SMTS,Sierra Metals Inc.
SIF,"SIFCO Industries, Inc."
SVM,Silvercorp Metals Inc.
SILV,SilverCrest Metals Inc.
XPL,Solitario Zinc Corp.
SCE^B,Southern California Edison Company
SCE^C,Southern California Edison Company
SCE^D,Southern California Edison Company
SCE^E,Southern California Edison Company
SGB,Southwest Georgia Financial Corporation
LOV,"Spark Networks, Inc."
SRCI,SRC Energy Inc.
SDI,Standard Diversified Inc.
SSY,"SunLink Health Systems, Inc."
SDPI,"Superior Drilling Products, Inc."
SYN,"Synthetic Biologics, Inc"
TKAT,"Takung Art Co., Ltd."
TALO.WS,"Talos Energy, Inc."
TRX,Tanzanian Royalty Exploration Corporation
TGB,Taseko Mines Limited
TIK,Tel-Instrument Electronics Corp.
TGC,"Tengasco, Inc."
GLU,The Gabelli Global Utility and Income Trust
GLU^A,The Gabelli Global Utility and Income Trust
GGO,The Gabelli Go Anywhere Trust
GGO^A,The Gabelli Go Anywhere Trust
TMP,Tompkins Financial Corporation
TAT,Transatlantic Petroleum Ltd
TRXC,"TransEnterix, Inc."
TMQ,Trilogy Metals Inc.
TPHS,Trinity Place Holdings Inc.
TRT,Trio-Tech International
UFAB,"Unique Fabricating, Inc."
UAMY,United States Antimony Corporation
UUU,"Universal Security Instruments, Inc."
UQM,UQM Technologies Inc.
URG,Ur Energy Inc
UEC,Uranium Energy Corp.
VHC,VirnetX Holding Corp
VGZ,Vista Gold Corporation
VNRX,VolitionRX Limited
VISI,"Volt Information Sciences, Inc."
EAD,Wells Fargo Income Opportunities Fund
ERC,Wells Fargo Multi-Sector Income Fund
ERH,Wells Fargo Utilities and High Income Fund
WRN,Western Copper and Gold Corporation
WYY,WidePoint Corporation
WTT,"Wireless Telecom Group,  Inc."
XTNT,"Xtant Medical Holdings, Inc."
YUMA,"Yuma Energy, Inc."
ZDGE,"Zedge, Inc."
ZOM,Zomedica Pharmaceuticals Corp.
